,bed rooms,baths,square feet,address,price
145,3,2,2200,"1800 W Grace Street 604 Chicago, IL 60613",974000.0
146,2,2,1408,"211 N Harbor Drive 1803 Chicago, IL 60601",900000.0
147,3,3,2300,"4065 N Sheridan Road 3 Chicago, IL 60613",825000.0
148,2,2,1790,"915 N Howe Street Chicago, IL 60610",625000.0
149,2,2,1420,"1629 S PRAIRIE Avenue 2211 Chicago, IL 60616",610000.0
150,4,2,2700,"2001 W 103rd Street Chicago, IL 60643",600000.0
151,2,1,1450,"407 N Elizabeth Street 202 Chicago, IL 60642",529999.0
152,2,2,1547,"1530 S State Street 14S Chicago, IL 60605",480000.0
153,2,2,1200,"480 N Mcclurg Court 901 Chicago, IL 60611",429000.0
154,2,2,1318,"2419 W FOSTER Avenue 2W Chicago, IL 60625",415000.0
155,3,3,2728,"2324 W Warren Boulevard Chicago, IL 60612",400000.0
156,4,2,1463,"10308 S Sawyer Avenue Chicago, IL 60655",399000.0
157,2,2,1300,"1305 S Michigan Avenue 705 Chicago, IL 60605",390000.0
158,3,2,2500,"538 N Leamington Avenue Chicago, IL 60644",385900.0
159,4,1,1119,"5047 N KENMORE Avenue D Chicago, IL 60640",365000.0
160,2,1,1400,"1337 W Flournoy Street B Chicago, IL 60607",350000.0
161,1,1,900,"2600 N Southport Avenue 212 Chicago, IL 60614",349900.0
162,3,1,1153,"6954 S Prairie Avenue Chicago, IL 60637",324900.0
163,3,1,1800,"8740 S Richmond Avenue Evergreen Park, IL 60805",299900.0
164,2,2,1622,"8927 S Cornell Avenue Chicago, IL 60617",294500.0
165,3,2,1200,"2423 S Wentworth Avenue 3C Chicago, IL 60616",285000.0
166,4,2,1544,"8836 S Carpenter Street Chicago, IL 60620",280000.0
167,4,2,1800,"727 W 50th Place Chicago, IL 60609",269000.0
168,3,1,792,"12509 S Emerald Avenue Chicago, IL 60628",239900.0
169,3,1,1432,"8548 S aberdeen Street Chicago, IL 60620",230000.0
170,4,1,1600,"12412 S ELIZABETH Street Calumet Park, IL 60827",229926.0
171,2,1,840,"3504 W 107th Street Chicago, IL 60655",225000.0
172,6,2,2000,"3853 W 60th Place Chicago, IL 60629",225000.0
173,2,1,1350,"1626 W Highland Avenue 2W Chicago, IL 60660",215000.0
174,1,1,980,"5455 N Sheridan Road 1415 Chicago, IL 60640",214900.0
175,3,2,1177,"7705 S Damen Avenue Chicago, IL 60620",179873.0
176,2,1,1094,"9146 S Williams Avenue Chicago, IL 60619",159000.0
177,2,2,1100,"5900 S Prairie Avenue 2 Chicago, IL 60637",150000.0
178,2,1,900,"6970 N Wolcott Avenue G Chicago, IL 60626",134900.0
179,3,1,1152,"14505 S Wabash Avenue Riverdale, IL 60827",119900.0
180,4,1,1512,"4815 W Huron Street Chicago, IL 60644",106000.0
181,5,3,3700,"5942 N Kolmar Avenue Chicago, IL 60646",1199500.0
182,3,1,1430,"4321 N Melvina Avenue Chicago, IL 60634",364900.0
183,3,2,1200,"9246 S Perry Avenue Chicago, IL 60620",225000.0
184,2,1,1057,"7007 S East End Avenue Unit C Chicago, IL 60649",200000.0
185,2,1,1057,"7007 S East End Avenue Unit B Chicago, IL 60649",200000.0
186,3,1,1287,"5412 S Hermitage Avenue Chicago, IL 60609",79900.0
187,3,2,912,"7115 S Dobson Avenue Chicago, IL 60619",268100.0
188,3,3,3431,"451 E Grand Avenue 4905 Chicago, IL 60611",2995000.0
189,5,6,4916,"52 E CEDAR Street Chicago, IL 60611",1999995.0
190,3,3,2800,"1040 N Lake Shore Drive 15A Chicago, IL 60611",1498000.0
191,2,2,1384,"211 N Harbor Drive 906 Chicago, IL 60601",1110000.0
192,3,3,3800,"2222 W Potomac Avenue Chicago, IL 60622",1100000.0
